,book,rating,title
265,/book/show/10996342-the-art-of-fielding,3.99,The Art Of Fielding
266,/book/show/11001753-revenge-of-the-red-knight,4.19,Revenge Of The Red Knight
267,/book/show/11001955-the-king-of-plagues,4.19,The King Of Plagues
268,/book/show/11007587-zero-day,4.0,Zero Day
269,/book/show/11010115-eyes-of-the-hammer,3.91,Eyes Of The Hammer
270,/book/show/11018851-the-mortal-bone,4.13,The Mortal Bone
271,/book/show/11018936-will-you-still-love-me-tomorrow,3.94,Will You Still Love Me Tomorrow
272,/book/show/11019333-wuthering-heights,3.84,Wuthering Heights
273,/book/show/11020196-the-loving-daylights,3.87,The Loving Daylights
274,/book/show/11023399-india-was-one,3.86,India Was One
275,/book/show/11031183-dead-living,4.08,Dead Living
276,/book/show/11038606-le-livre-des-grands-contraires-psychologiques,4.22,Le Livre Des Grands Contraires Psychologiques
277,/book/show/11041277-the-garner-files,3.8,The Garner Files
278,/book/show/11048116-fateful,3.61,Fateful
279,/book/show/11048733-the-gathering-dead,3.99,The Gathering Dead
280,/book/show/11051905-the-fallen-star,3.91,The Fallen Star
281,/book/show/11052224-the-lost-world,3.92,The Lost World
282,/book/show/11053874-raven-cursed,4.22,Raven Cursed
283,/book/show/11054030-daddy-long-legs,4.11,Daddy Long Legs
284,/book/show/11057345-krishna---the-god-who-lived-as-man,4.42,Krishna   The God Who Lived As Man
285,/book/show/11058008-the-book-of-general-ignorance,3.78,The Book Of General Ignorance
286,/book/show/11058727-paradise-lost,3.81,Paradise Lost
287,/book/show/11059089-the-womanly-art-of-breastfeeding,4.23,The Womanly Art Of Breastfeeding
288,/book/show/11059675-a-game-of-thrones,4.45,A Game Of Thrones
289,/book/show/11059914-the-breakout-novelist,4.35,The Breakout Novelist
290,/book/show/11061022-fear-no-evil,4.25,Fear No Evil
291,/book/show/11061688-rock-chick,4.19,Rock Chick
292,/book/show/11061690-rock-chick-redemption,4.42,Rock Chick Redemption
293,/book/show/11063588-the-corrections,3.79,The Corrections
294,/book/show/11067923-faceless-killers,3.77,Faceless Killers
295,/book/show/11071393-the-white-queen,3.92,The White Queen
296,/book/show/11072550-the-mermaids-singing,3.975,The Mermaids Singing
297,/book/show/11076068-night-passage,3.82,Night Passage
298,/book/show/11076177-the-cat-s-table,3.59,The Cat S Table
299,/book/show/11077621-showdown-with-the-shepherd,4.31,Showdown With The Shepherd
300,/book/show/11077689-the-psychology-of-superheroes,3.72,The Psychology Of Superheroes
301,/book/show/11079907-summer-of-night,4.01,Summer Of Night
302,/book/show/11079940-freakonomics,3.95,Freakonomics
303,/book/show/11082037-the-drop,4.16,The Drop
304,/book/show/11084145-steve-jobs,4.119999999999999,Steve Jobs
305,/book/show/11085403-story-engineering,4.1,Story Engineering
306,/book/show/11085563-the-effortless-sleep-method,3.78,The Effortless Sleep Method
307,/book/show/11099885-beekeeping-for-beginners,4.12,Beekeeping For Beginners
308,/book/show/11100431-heir-of-novron,4.48,Heir Of Novron
309,/book/show/11101772-the-scrapbook-of-frankie-pratt,3.72,The Scrapbook Of Frankie Pratt
310,/book/show/11102580-the-hinge-factor,3.35,The Hinge Factor
311,/book/show/11102852-a-decline-in-prophets,3.95,A Decline In Prophets
312,/book/show/11104286-a-criticism-on-the-elegy-written-in-a-country-church-yard-being-a-contin,4.5,A Criticism On The Elegy Written In A Country Church Yard Being A Contin
313,/book/show/11104934-the-secrets-of-the-fbi,3.43,The Secrets Of The Fbi
314,/book/show/11106641-love-s-true-second-chance,4.46,Love S True Second Chance
315,/book/show/11107565-the-innocence-of-father-brown,3.85,The Innocence Of Father Brown
316,/book/show/11112760-tales-of-ghostly-horror,3.22,Tales Of Ghostly Horror
317,/book/show/11115925-now,4.0,Now
318,/book/show/11126971-morrissey-in-conversation,4.23,Morrissey In Conversation
319,/book/show/11133988-legion-of-the-damned,4.0,Legion Of The Damned
320,/book/show/11135801-book-of-awakening,4.32,Book Of Awakening
321,/book/show/11138378-the-colour-of-magic,3.99,The Colour Of Magic
322,/book/show/11138585-the-warrior-prince,4.06,The Warrior Prince
323,/book/show/11139089-darkstar,4.09,Darkstar
324,/book/show/11146345-archangel-s-consort,4.25,Archangel S Consort
325,/book/show/11148989-catching-fire,3.85,Catching Fire
326,/book/show/11149647-the-book-thief,4.37,The Book Thief
327,/book/show/11150868,3.74,
328,/book/show/11162598-tales-from-frewyn,4.16,Tales From Frewyn
329,/book/show/11163180-born-to-bleed,3.85,Born To Bleed
330,/book/show/11164514-until-there-was-you,4.0,Until There Was You
331,/book/show/11165290-extreme-money,3.63,Extreme Money
332,/book/show/11166889-the-funhouse,3.6,The Funhouse
333,/book/show/11174245-robert-s-rules-of-order-newly-revised-11th-edition,3.86,Robert S Rules Of Order Newly Revised 11Th Edition
334,/book/show/11174648-the-wavering-of-haruhi-suzumiya,3.84,The Wavering Of Haruhi Suzumiya
335,/book/show/11175371-become-a-key-person-of-influence,3.97,Become A Key Person Of Influence
336,/book/show/11178037-sanctus,3.81,Sanctus
337,/book/show/11180104,3.89,
338,/book/show/11181561-the-better-angels-of-our-nature,4.2,The Better Angels Of Our Nature
339,/book/show/11183167-a-sparrow-falls,4.16,A Sparrow Falls
340,/book/show/11183921-2br02b,3.94,2Br02B
341,/book/show/11184061-birdsong,4.08,Birdsong
342,/book/show/11192642-go-the-fuck-to-sleep,4.26,Go The Fuck To Sleep
343,/book/show/11198312-the-medusa-plot,4.08,The Medusa Plot
344,/book/show/11200098-life-of-charlotte-bronte---volume-2,3.68,Life Of Charlotte Bronte   Volume 2
345,/book/show/11205829-imajica,4.16,Imajica
346,/book/show/11208523-sir-gawain-and-the-green-knight-barnes-noble-digital-library,3.69,Sir Gawain And The Green Knight Barnes Noble Digital Library
347,/book/show/11211535-making-money,4.25,Making Money
348,/book/show/11213969-consider-phlebas,3.86,Consider Phlebas
349,/book/show/11218177-anathem,4.19,Anathem
350,/book/show/11221285-the-way-of-kings-part-2,4.78,The Way Of Kings Part 2
351,/book/show/11221815-the-power-of-six,4.17,The Power Of Six
352,/book/show/11222521-phone-kitten,3.63,Phone Kitten
353,/book/show/11225698-the-5-levels-of-leadership,4.28,The 5 Levels Of Leadership
354,/book/show/11227041-the-gamble,4.28,The Gamble
355,/book/show/11227043-rock-chick-revenge,4.49,Rock Chick Revenge
356,/book/show/11230004-hit-list,3.93,Hit List
357,/book/show/11232016-the-stand,4.34,The Stand
358,/book/show/11233988-i-want-my-hat-back,4.39,I Want My Hat Back
359,/book/show/11234066-eye-of-the-needle,4.17,Eye Of The Needle
360,/book/show/11235712-cinder,4.1499999999999995,Cinder
361,/book/show/11238036-middlesex,3.99,Middlesex
362,/book/show/11239488-dark-matter,3.96,Dark Matter
363,/book/show/11242694-years,4.22,Years
364,/book/show/11243259-optics,3.94,Optics
365,/book/show/11247394-scaredy-cat,3.98,Scaredy Cat
366,/book/show/11247486-the-road-to-rome,4.11,The Road To Rome
367,/book/show/11249563-satanic-versus,3.98,Satanic Versus
368,/book/show/11250053-the-snow-child,3.97,The Snow Child
369,/book/show/11250202-not-dead-enough,4.12,Not Dead Enough
370,/book/show/11250317-the-song-of-achilles,4.31,The Song Of Achilles
371,/book/show/11253331-the-collaborator,3.89,The Collaborator
372,/book/show/11256293-life-is-what-you-make-it,3.57,Life Is What You Make It
373,/book/show/11256979-the-magic-of-reality,4.04,The Magic Of Reality
374,/book/show/11260526-the-twilight-saga-breaking-dawn-part-1,4.28,The Twilight Saga Breaking Dawn Part 1
375,/book/show/11263404-open-season,3.93,Open Season
376,/book/show/11272650-blood-faerie,3.7,Blood Faerie
